Slug,Name,URL,Category,Subcategories,Rating,Reviews,Installs,Developer,Description,Has Free Version,Icon URL,Last Updated,Scraped At
challenges,Wix Online Programs,https://www.wix.com/app-market/web-solution/challenges,Business Services,online-courses:Online Courses,3.8,978,,Wix,Build and sell multi-step programs,true,https://static.wixstatic.com/media/bfb4fd_cf1cbfcd0698491c9868a882bb5aba97~mv2.png/v1/fill/bfb4fd_cf1cbfcd0698491c9868a882bb5aba97~mv2.png,,2025-07-06T21:54:40.913Z
spocket-dropshipping,Spocket - US & EU Dropshipping,https://www.wix.com/app-market/web-solution/spocket-dropshipping,eCommerce,dropship:Dropshipping,3.9,127,,Spocket,Dropship from Verified US & EU suppliers,true,https://static.wixstatic.com/media/7d1187_58536b113cd34b6689af361daf4372f3~mv2.png/v1/fill/7d1187_58536b113cd34b6689af361daf4372f3~mv2.png,,2025-07-06T21:54:41.134Z
quickbooks-online,QuickBooks Connector,https://www.wix.com/app-market/web-solution/quickbooks-online,Business Services,accounting:Accounting,4.7,1154,,Intuit Mailchimp,Integrate QuickBooks Online to your site,true,https://static.wixstatic.com/media/9955e5_5daaec99a1d0466d838d6e3a363b73fc~mv2.png/v1/fill/9955e5_5daaec99a1d0466d838d6e3a363b73fc~mv2.png,,2025-07-06T21:54:41.286Z
wix-stores,Wix Stores,https://www.wix.com/app-market/web-solution/wix-stores,eCommerce,stores:Stores,4.2,4418,,Wix,Professional eCommerce platform to sell online,true,https://static.wixstatic.com/media/22e53e_a53027e61c334a428ee8fd64dd776792~mv2.png/v1/fill/22e53e_a53027e61c334a428ee8fd64dd776792~mv2.png,,2025-07-06T21:54:41.363Z
events,Wix Events & Tickets,https://www.wix.com/app-market/web-solution/events,Business Services,events:Events,3.5,1214,,Wix,Event management platform for tickets & RSVPs,true,https://static.wixstatic.com/media/ea7119_e7517ae616f14a2b968349b0109275d2~mv2.png/v1/fill/ea7119_e7517ae616f14a2b968349b0109275d2~mv2.png,,2025-07-06T21:54:42.066Z
klaviyo,Klaviyo,https://www.wix.com/app-market/web-solution/klaviyo,Marketing,email:Email,4.3,11,,Klaviyo,"Email Marketing, SMS Marketing, Forms, & More",true,https://static.wixstatic.com/media/2293e6_da97e8ea3719441d97b3b47e4b2d7534~mv2.png/v1/fill/2293e6_da97e8ea3719441d97b3b47e4b2d7534~mv2.png,,2025-07-06T21:54:42.317Z
wix-ai-assistant-client,Wix AI Site Chat,https://www.wix.com/app-market/web-solution/wix-ai-assistant-client,Design & Content,chat:Chat; stores:Stores; search:Search,3,102,,Wix,Give 24/7 AI support and sales advice,true,https://static.wixstatic.com/media/222cbd_84f4218e0dc143d2bd9c300e565e1181~mv2.png/v1/fill/222cbd_84f4218e0dc143d2bd9c300e565e1181~mv2.png,,2025-07-06T21:54:42.480Z
google-ads-shopping,Google Ads & Google Shopping,https://www.wix.com/app-market/web-solution/google-ads-shopping,Marketing,ads:Ads,3.3,119,,StoreYa,We'll drive targeted visitors to your site!,true,https://static.wixstatic.com/media/327c76_d381c6622ac84fb99f9dc02c389467b1~mv2.png/v1/fill/327c76_d381c6622ac84fb99f9dc02c389467b1~mv2.png,,2025-07-06T21:54:42.578Z
pay-button,Pay Button,https://www.wix.com/app-market/web-solution/pay-button,eCommerce,sell-buttons:Sell Buttons,1.5,42,,Wix,Offer fast checkout for payments and donations,true,https://static.wixstatic.com/media/d2c887_93408c6974ed48c5a3536ce421323470~mv2.png/v1/fill/d2c887_93408c6974ed48c5a3536ce421323470~mv2.png,,2025-07-06T21:54:42.870Z
mo-discount-upseller-v1,Easy Volume Discount Upsells,https://www.wix.com/app-market/web-solution/mo-discount-upseller-v1,Other,stores:Stores; conversion:Conversion,4.9,40,,Multiorders Solutions,We'll grow your store's revenue and increase CR,true,https://static.wixstatic.com/media/2a25d3_a1cfc7f57e8f43c6a9f67dbb6a00f467~mv2.jpg/v1/fill/2a25d3_a1cfc7f57e8f43c6a9f67dbb6a00f467~mv2.jpg,,2025-07-06T21:54:42.974Z
wix-music,Wix Music,https://www.wix.com/app-market/web-solution/wix-music,Business Services,music:Music,3.5,304,,Wix,Stream & sell your audio with the Wix player,true,https://static.wixstatic.com/media/454bab_ac6f5b6b090c426098a6322b7d861e70~mv2.png/v1/fill/454bab_ac6f5b6b090c426098a6322b7d861e70~mv2.png,,2025-07-06T21:54:43.063Z
quizell-product-quiz,Quizell Product Quiz & Form,https://www.wix.com/app-market/web-solution/quizell-product-quiz,eCommerce,engagement:Engagement,4.7,91,,Quizell,Product Quizzes & Forms to Grow E-commerce sales,true,https://static.wixstatic.com/media/feae19_7e2fd9a3914c4efb8c6caa4006c6ed2a~mv2.png/v1/fill/feae19_7e2fd9a3914c4efb8c6caa4006c6ed2a~mv2.png,,2025-07-06T21:54:43.177Z
